option_id,product_id,sku_id,value_id
2,23372384,864,13
2,23372384,900,14
2,30390115,894,1
2,30390115,905,2
2,30390115,921,3
2,30390115,919,4
2,30390115,928,5
2,30390115,888,6
2,30390115,899,7
2,30390115,909,8
2,30390115,929,9
2,29964651,897,1
2,29964651,917,2
2,29964651,871,3
2,29964651,892,4
2,29964651,851,5
2,29964651,922,6
2,29964651,910,7
2,30247846,922,1
2,30247846,926,2
2,30247846,868,3
2,30648268,927,1
2,30648268,931,2
2,30648268,861,3
2,30648268,926,4
2,30648268,881,5
2,30648268,913,6
2,30648268,917,7
2,30668143,919,1
2,30668143,894,2
2,30668143,853,3
2,30668143,873,4
2,30339735,867,1
2,30339735,847,2
2,30339735,905,3
2,30339735,921,4
2,30339735,888,5
2,30335891,891,1
2,30335891,919,2
2,30335891,845,3
2,30335891,865,4
2,29888034,924,1
2,29888034,858,2
2,29888034,928,3
2,29888034,899,4
2,29888034,878,5
2,29888034,904,6
2,29888034,893,7
2,29888034,923,8
2,30338730,898,1
2,30338730,887,2
2,30338730,904,3
2,30338730,924,4
2,30338730,866,5
2,30338730,846,6
2,30338730,912,7
2,30338730,915,8
2,30338730,892,9
2,30338730,920,10
2,30339736,849,1
2,30339736,869,2
2,24980067,933,1
2,24980067,907,2
2,24980067,914,3
2,24980067,923,4
2,24980067,925,5
2,24559892,902,1
2,24559892,921,2
2,24559892,914,3
2,24559892,902,4
2,24559892,909,5
2,24559892,921,6
2,24559892,918,7
2,23600294,903,1
2,23600294,882,2
2,23600294,895,3
2,30384152,938,1
2,30384152,926,2
2,30384152,926,3
2,30384152,860,4
2,30384152,880,5
2,30340186,907,1
2,30340186,921,2
2,30340186,920,3
2,30340186,875,4
2,30340186,855,5
2,30339941,898,1
2,30339941,926,2
2,30339941,872,3
2,30339941,852,4
2,30276968,853,1
2,30276968,873,2
2,30276968,927,3
2,30276968,924,4
2,30174558,857,1
2,30174558,877,2
2,30174556,927,1
2,30174556,873,2
2,30174556,853,3
2,30174556,912,4
2,30174556,931,5
2,30174547,873,1
2,29897010,869,1
2,29897010,849,2
2,29897010,920,3
2,29896222,899,1
2,29896222,873,2
2,29896120,918,1
2,29896120,867,2
2,29896120,847,3
2,29896118,920,1
2,29896118,874,2
2,29896118,937,3
2,29896118,932,4
2,29896118,854,5
2,29896117,859,1
2,29896117,879,2
2,25145258,914,1
2,25145258,924,2
2,25145258,910,3
2,25145258,936,4
2,25145258,926,5
2,24566485,925,1
2,24566485,899,2
2,24566485,899,3
2,24566485,893,4
2,24566485,906,5
2,24566485,915,6
2,29505173,910,1
2,29505173,906,2
2,29505173,922,3
2,29505173,930,4
